@relation newData

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute label {buggy,clean}

@data
73,5,3,23,0,0,?
133,7,4,38,0,0,?
71,5,3,20,0,0,?
69,5,3,18,0,0,?
78,5,3,28,0,0,?
82,5,4,29,0,0,?
74,5,3,23,0,0,?
51,3,8,0,0,0,?
133,15,4,63,0,0,?
77,5,3,26,0,0,?
202,36,10,65,5,1,?
78,5,3,30,0,0,?
200,13,6,86,1,4,?
